,pruning threshold,stopping probability,tile drop rate,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
58,5.0,0.005,0.1,0.04,0.5,0.8,-0.090018,0.5,2.5,15.0,2.3879799999999998,Tile dropping,human-vs-human,12,4,,
59,3.3434,0.0071899,0.0,0.021456,0.5,0.8,-0.21262,0.6,2.5,15.0,2.11289,Tile dropping,human-vs-human,12,5,,
60,5.0,0.0055,0.3,0.030632,1.5091,0.8,1.0,0.25971,3.3333,15.0,2.1736,Tile dropping,human-vs-human,13,1,,
61,4.6732,0.01,0.1,0.02,1.1222,0.32745,0.90148,0.31431,2.5,15.0,2.08102,Tile dropping,human-vs-human,13,2,,
62,3.9745,0.0072542,0.2,0.015,1.1667,0.8,1.0,0.21189,2.5,15.0,2.58521,Tile dropping,human-vs-human,13,3,,
63,5.0,0.005,0.2424,0.017265,1.0,0.62915,0.42776,0.3,2.5,15.0,2.28707,Tile dropping,human-vs-human,13,4,,
64,5.787,0.0052689,0.2185,0.053333,1.0,0.8,1.0,0.3,5.0,15.0,2.43258,Tile dropping,human-vs-human,13,5,,
65,3.2437,0.028811,0.27424,0.0225,1.4137,0.6875,1.125,0.38125,2.7188,16.0,1.69695,Tile dropping,human-vs-human,14,1,,
66,9.5386,0.001,0.22284,0.015,2.0,-0.58371,1.0,0.3,3.6478,15.0,2.34956,Tile dropping,human-vs-human,14,2,,
67,9.8344,0.0050251,0.28662,0.02677,1.3467,0.44213,1.233,0.59798,5.7875,12.529,2.19001,Tile dropping,human-vs-human,14,3,,
68,3.0,0.005,0.2,0.020314,1.0,-0.75125,1.3333,0.3,5.0,4.2813,2.60095,Tile dropping,human-vs-human,14,4,,
69,6.0,0.01,0.2,0.02,2.0,0.70371,1.0937,0.28181,2.7778,13.114,1.7441400000000002,Tile dropping,human-vs-human,14,5,,
70,4.9623,0.0020864,0.1,0.016667,0.58333,0.74429,0.87948,1.2366,2.8985,15.0,1.63844,Tile dropping,human-vs-human,15,1,,
71,2.5673,0.0072353,0.087011,0.02372,0.369,0.47445,0.5595,1.2564,7.1029,86.002,1.6764700000000001,Tile dropping,human-vs-human,15,2,,
72,7.9387,0.014168,0.16047,0.019734,0.57867,0.85354,1.2395,1.2542,4.1347,13.083,1.71768,Tile dropping,human-vs-human,15,3,,
73,3.0,0.005,0.22467,0.02,0.59867,0.8,0.69084,0.44818,5.0,20.0,2.3296799999999998,Tile dropping,human-vs-human,15,4,,
74,3.0,0.007,0.20464,0.019805,0.5,0.85614,0.57727,0.96471,5.2269,21.407,2.13244,Tile dropping,human-vs-human,15,5,,
75,4.1673,0.001,0.2,0.01,0.83634,0.8,0.8,0.3,3.5,15.0,2.55675,Tile dropping,human-vs-human,16,1,,
76,5.0,0.001,0.2,0.02,0.99999,1.0667,1.0,1.35,5.0,9.0597,2.1150599999999997,Tile dropping,human-vs-human,16,2,,
77,4.7973,0.001,0.17411,0.038266,1.1634,0.52782,1.0315,0.4028,2.5057,6.7928,1.47436,Tile dropping,human-vs-human,16,3,,
78,2.9822,0.0053711,0.20235,0.027644,0.99107,0.52979,0.99086,0.7488,3.2228,14.51,1.9052900000000002,Tile dropping,human-vs-human,16,4,,
79,7.1799,0.001,0.14997,0.019093,1.1836,0.841,1.0456,0.32961,2.5797,14.636,1.7536200000000002,Tile dropping,human-vs-human,16,5,,
80,3.0,0.0054193,0.22056,0.024299,0.25,0.42561,1.0,0.4,2.5,15.0,1.95286,Tile dropping,human-vs-human,17,1,,
81,4.9645,0.015217,0.0,0.020939,1.0,0.61475,0.57861,0.20272,2.532,15.0,2.5635,Tile dropping,human-vs-human,17,2,,
82,2.55,0.02,0.27685,0.03,1.0,0.8,0.96958,0.6,2.7778,20.0,2.7889799999999996,Tile dropping,human-vs-human,17,3,,
83,4.1833,0.0073268,0.3,0.02,1.0,0.68694,0.8,0.18067,2.5,15.0,2.2688099999999998,Tile dropping,human-vs-human,17,4,,
84,6.9002,0.02,0.0,0.02156,0.25,0.8,1.0,0.3,2.5,15.0,2.68995,Tile dropping,human-vs-human,17,5,,
85,4.0217,0.001,0.4,0.01,0.25,0.20245,0.5,0.625,4.625,19.0,1.9534100000000003,Tile dropping,human-vs-human,18,1,,
86,7.5,0.001,0.20665,0.023333,0.25,0.38564,0.6021,0.41481,2.5,15.0,2.5030500000000004,Tile dropping,human-vs-human,18,2,,
87,3.765,0.0024085,0.069881,0.020008,0.3749,0.24555,1.0004,0.26947,2.5187,7.9307,2.62149,Tile dropping,human-vs-human,18,3,,
88,9.9999,0.010935,0.21651,0.016667,0.375,-0.1187,0.39809,0.3,2.5974,15.0,2.4218800000000003,Tile dropping,human-vs-human,18,4,,
89,10.0,0.011667,0.17896,0.02,0.88836,-0.52009,0.8917,0.6,3.5,15.0,3.0159599999999998,Tile dropping,human-vs-human,18,5,,
90,4.9947,0.0050124,0.10036,0.030072,1.0014,0.80162,0.9982,0.29883,5.2398,14.99,1.84057,Tile dropping,human-vs-human,19,1,,
91,8.0,0.001,0.0,0.02464,1.0,0.8,0.88787,0.4,2.5,20.0,1.6958600000000001,Tile dropping,human-vs-human,19,2,,
92,3.2425,0.002994,0.0,0.02591,0.25,0.66293,1.3749,0.66473,5.6551,14.004,1.49349,Tile dropping,human-vs-human,19,3,,
93,8.0003,0.0050007,0.10002,0.01,0.50001,0.79992,1.5,0.99993,5.0002,14.999,1.2895499999999998,Tile dropping,human-vs-human,19,4,,
94,1.7674,0.02,0.1,0.01,1.0,0.55303,0.77952,1.2373,3.2062,20.0,0.882108,Tile dropping,human-vs-human,19,5,,
95,4.601,0.001,0.1102,0.02088,0.75388,0.65079,0.99427,0.40286,4.0155,33.391,1.6013100000000002,Tile dropping,human-vs-human,20,1,,
96,4.7644,0.001,0.0,0.01,0.31464,0.24928,1.4896,0.28386,4.272,19.083,2.2318000000000002,Tile dropping,human-vs-human,20,2,,
97,6.9463,0.001,0.16708,0.01,0.85741,0.35156,1.4948,0.87717,4.6581,18.968,1.79512,Tile dropping,human-vs-human,20,3,,
98,10.0,0.001,0.22638,0.029905,0.25,0.1023,1.5473,0.44133,4.3265,19.378,2.04981,Tile dropping,human-vs-human,20,4,,
99,10.0,0.001,0.1984,0.02,1.0595,0.4,1.0,0.5,2.9026,15.0,1.66185,Tile dropping,human-vs-human,20,5,,
100,1.0995,0.001,0.094171,0.021067,0.54211,1.2785,0.97894,0.35582,4.7595,21.841,1.45115,Tile dropping,human-vs-human,21,1,,
101,3.0,0.001,0.1,0.01743,0.5,1.4817,1.0,0.5,3.5,20.0,1.47113,Tile dropping,human-vs-human,21,2,,
102,3.2795,0.001,0.028612,0.04518,0.25,1.1098,0.94126,0.42451,3.7458,18.635,1.13805,Tile dropping,human-vs-human,21,3,,
103,2.4157,0.001,0.089522,0.016855,0.50457,1.2025,0.68118,0.30593,3.5205,20.073,1.4861799999999998,Tile dropping,human-vs-human,21,4,,
104,3.0015,0.0049945,0.056435,0.019819,0.50074,1.3641,0.9353,0.40125,4.9964,24.857,1.3641999999999999,Tile dropping,human-vs-human,21,5,,
105,3.0,0.01,0.099999,0.02,0.5,0.70724,1.2459,0.5,2.5,15.0,2.2089399999999997,Tile dropping,human-vs-human,22,1,,
106,2.3556,0.001,0.2,0.01,0.502,1.0,0.91111,0.32222,2.6852,12.963,1.80864,Tile dropping,human-vs-human,22,2,,
107,3.1219,0.001,0.16387,0.02125,0.73933,0.74375,0.9375,0.34063,2.3906,14.5,1.5775700000000001,Tile dropping,human-vs-human,22,3,,
108,10.0,0.001,0.10806,0.021131,0.77779,0.80002,1.0,0.30001,2.1676,15.0,1.71252,Tile dropping,human-vs-human,22,4,,
109,3.0,0.001,0.069616,0.02,0.85188,0.8,1.0,0.3,2.5,8.0942,2.00229,Tile dropping,human-vs-human,22,5,,
110,3.0,0.01,0.2,0.02,1.0,0.4,1.0,0.3,2.5,15.0,1.92135,Tile dropping,human-vs-human,23,1,,
111,0.84541,0.001,0.34923,0.01,1.0326,0.6712,0.93185,0.30084,2.5027,15.543,2.27017,Tile dropping,human-vs-human,23,2,,
112,0.1,0.01,0.2,0.02,1.0,0.24924,1.0,0.25803,3.3333,15.0,2.24426,Tile dropping,human-vs-human,23,3,,
113,3.0641,0.75045,0.23285,0.018376,0.97979,0.69132,1.0044,0.30272,2.7701,15.517,1.8334199999999998,Tile dropping,human-vs-human,23,4,,
114,3.0002,0.0099973,0.20004,0.020008,1.0918,-0.11985,1.0004,0.30026,3.334,15.003,2.0226999999999995,Tile dropping,human-vs-human,23,5,,
115,6.87,0.010918,0.30769,0.019986,0.25,0.25889,2.1398,0.21652,2.8557,-144.41,2.31975,Tile dropping,human-vs-human,24,1,,
116,5.1715,0.013089,0.30798,0.012207,0.25,-0.62222,2.0125,0.83943,1.3785,23.1,2.5162000000000004,Tile dropping,human-vs-human,24,2,,
117,0.1,0.18843,0.22622,0.024689,0.35696,-0.20661,1.6133,0.6118,2.4812,5.4948,2.36742,Tile dropping,human-vs-human,24,3,,
118,4.323,0.01057,0.33418,0.016672,0.25,0.3995,1.6449,0.31889,2.6033,3.7039,2.71007,Tile dropping,human-vs-human,24,4,,
119,3.0,0.0058333,0.29701,0.02,0.25,0.47335,1.0,0.3,2.5,15.0,2.6576899999999997,Tile dropping,human-vs-human,24,5,,
120,5.3497,0.001,0.23333,0.01,0.25,0.875,1.0833,0.35417,3.3125,9.5417,1.68495,Tile dropping,human-vs-human,25,1,,
121,9.4163,0.005882,0.081265,0.013935,0.97367,0.50602,0.73194,0.76111,4.1605,12.889,3.26438,Tile dropping,human-vs-human,25,2,,
122,6.8002,0.001,0.2,0.02,1.0,0.8,-0.076796,0.4,2.5,15.0,2.00007,Tile dropping,human-vs-human,25,3,,
123,5.9968,0.001,0.21714,0.015136,1.8164,0.39594,0.67183,0.68025,1.483,14.918,2.1792399999999996,Tile dropping,human-vs-human,25,4,,
124,0.1,0.0072997,0.0,0.02,0.25,0.53516,1.0,1.2416,2.5,4.9236,2.06421,Tile dropping,human-vs-human,25,5,,
125,3.0,0.005,0.3,0.02,1.0,1.0,1.0,0.3,2.5,15.0,1.73031,Tile dropping,human-vs-human,26,1,,
126,2.4961,0.0057109,0.27438,0.01,0.86848,0.63265,0.8194,0.17914,2.9521,1115.6,1.54528,Tile dropping,human-vs-human,26,2,,
127,1.9829,0.011024,0.11138,0.027724,0.96639,0.81639,0.66369,0.33698,2.5995,19.393,2.2182699999999995,Tile dropping,human-vs-human,26,3,,
128,0.1,0.01,0.32811,0.01,1.0,0.8,0.64748,0.4,2.5,15.0,2.1494600000000004,Tile dropping,human-vs-human,26,4,,
129,3.1913,0.001,0.20436,0.02,1.1267,1.052,0.8155,0.33333,2.5,15.0,2.0611699999999997,Tile dropping,human-vs-human,26,5,,
130,2.8389,0.0053956,0.18963,0.02,0.99999,0.63281,0.61059,0.3,5.0,15.0,2.16515,Tile dropping,human-vs-human,27,1,,
131,5.0542,0.001,0.19986,0.017952,0.9996,0.80037,0.85733,0.30593,2.4992,14.996,1.4444599999999999,Tile dropping,human-vs-human,27,2,,
132,7.0,0.001,0.3,0.02,0.25,0.8,1.0,0.3,2.5,15.0,1.41388,Tile dropping,human-vs-human,27,3,,
133,5.4513,0.001,0.17154,0.028151,0.25,1.25,0.5,1.3836,3.375,11.0,2.9515299999999995,Tile dropping,human-vs-human,27,4,,
134,7.3333,0.001,0.2,0.0125,0.48611,0.56296,1.2988,0.29985,3.3333,13.055,2.5294700000000003,Tile dropping,human-vs-human,27,5,,
135,9.9999,0.005,0.0,0.027165,1.0,0.8,1.0,0.3,2.5,15.0,1.7868300000000001,Tile dropping,human-vs-human,28,1,,
136,3.0,0.001,0.077636,0.02,0.78512,0.8,0.99999,0.3,2.5,15.0,1.8493399999999998,Tile dropping,human-vs-human,28,2,,
