,stopping probability,feature drop rate,lapse rate,exploration constant,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
122,0.0058333,0.33193,0.127,1.2111e-05,0.5,0.44753,1.0,0.3,2.5,15.0,1.9464400000000002,MCTS,human-vs-human,25,3,,
123,0.02,0.0,0.021589,0.5,0.31521,0.4,1.0,0.6,3.3333,20.0,2.06197,MCTS,human-vs-human,25,4,,
124,0.001,0.3,0.03,0.41667,0.40668,0.4,1.0896,0.3,2.5,15.0,2.18147,MCTS,human-vs-human,25,5,,
125,0.013667,0.29679,0.01,0.45678,0.97141,0.8,1.0,0.3,2.6869,15.0,1.8179500000000002,MCTS,human-vs-human,26,1,,
126,0.01,0.15376,0.02,0.5,0.5,0.8,0.8,0.3,2.5,15.0,1.57914,MCTS,human-vs-human,26,2,,
127,0.005006,0.2003,0.01,0.38925,0.83807,0.79948,0.84451,0.40049,2.5008,14.994,2.11176,MCTS,human-vs-human,26,3,,
128,0.023562,0.28612,0.019604,0.77112,0.95519,0.8,1.0,0.23238,2.6987,20.0,2.2849700000000004,MCTS,human-vs-human,26,4,,
129,0.005,0.20986,0.01686,0.43426,1.0,1.6,1.0,0.6,1.9781,15.0,2.4425200000000005,MCTS,human-vs-human,26,5,,
130,0.021579,0.18964,0.027398,0.43095,0.61693,0.93761,0.9259,0.34817,2.6297,15.593,2.0473,MCTS,human-vs-human,27,1,,
131,0.04,0.3,0.01,0.25,0.5,1.0,1.0,-6.0554e-06,3.7009,20.0,1.6247399999999999,MCTS,human-vs-human,27,2,,
132,0.55027,0.15237,0.040543,0.56731,0.50453,0.59015,0.78075,0.34979,3.3496,15.056,1.16936,MCTS,human-vs-human,27,3,,
133,0.0263,0.1,0.023333,0.41667,0.45833,0.4,0.8,0.17325,3.3333,15.0,2.6633000000000004,MCTS,human-vs-human,27,4,,
