,pruning threshold,stopping probability,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,connected 2-in-a-row drop rate,unconnected 2-in-a-row drop rate,3-in-a-row drop rate,4-in-a-row drop rate,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
41,5.335,0.02,0.025168,1.0,0.38662,1.0,0.3,2.5,15.0,0.1,0.2,0.1,0.2,3.09495,Type-dependent dropping,human-vs-human,9,2,,
42,10.0,0.0099999,0.021469,1.0,0.8,0.8,0.3,2.5,15.0,0.2,0.2323,0.2,0.2,3.4729799999999997,Type-dependent dropping,human-vs-human,9,3,,
43,7.0,0.01,0.01,1.0,0.8,1.0,0.5,2.5,16.525,0.2,0.2,0.2,0.2,2.44332,Type-dependent dropping,human-vs-human,9,4,,
44,4.9862,0.03,0.024165,0.95833,0.53889,1.0,1.0,2.5,30.0,0.22563,0.3,0.1518,0.2,2.4284399999999997,Type-dependent dropping,human-vs-human,9,5,,
45,8.3413,0.02,0.018571,1.0,0.5131,0.64148,0.4,2.5,15.0,0.2,0.2,0.2,0.17455,2.44563,Type-dependent dropping,human-vs-human,10,1,,
46,5.0,0.001,0.02,1.0713,0.43838,0.59568,0.3,1.4674,30.0,0.2,0.2,0.2,0.2,2.84298,Type-dependent dropping,human-vs-human,10,2,,
47,7.9917,0.007,0.016667,0.85132,0.28333,0.65,0.43056,1.7083,16.333,0.26667,0.13333,0.26667,0.16667,1.56972,Type-dependent dropping,human-vs-human,10,3,,
48,6.2625,0.0059022,0.016201,1.2188,0.575,0.75,0.7625,2.9375,13.0,0.3,0.099999,0.3,0.3,2.39843,Type-dependent dropping,human-vs-human,10,4,,
49,8.6167,0.0095277,0.021039,1.1318,0.77638,1.1598,0.29202,2.5459,14.79,0.1895,0.21737,0.19694,0.2105,2.9420100000000002,Type-dependent dropping,human-vs-human,10,5,,
50,7.5689,0.001,0.02,1.0469,0.8,1.0,0.3,2.5,26.667,0.2,0.0,0.2,0.2,2.05906,Type-dependent dropping,human-vs-human,11,1,,
51,3.0,0.0043667,0.01,1.0773,1.0667,1.0,0.4,3.7638,7.6731,0.2,0.16667,0.2,0.1,1.7421099999999998,Type-dependent dropping,human-vs-human,11,2,,
52,10.0,0.0056673,0.025179,0.77396,1.0167,1.0645,0.41066,2.9532,12.933,0.2078,0.10379,0.30359,0.30305,1.6992,Type-dependent dropping,human-vs-human,11,3,,
53,8.1289,0.001,0.01,1.0,0.8,1.0,0.3,3.3333,10.612,0.2,0.2,0.2,0.2,1.86055,Type-dependent dropping,human-vs-human,11,4,,
54,3.0016,0.0050347,0.01,1.2743,0.8039,0.8161,1.0033,2.4924,14.965,0.20173,0.20173,0.3026,0.20113,1.9367,Type-dependent dropping,human-vs-human,11,5,,
55,7.0,0.005,0.03,0.90494,0.4,0.41095,0.66667,2.1006,20.0,0.27992,0.2,0.16667,0.16667,1.8098000000000003,Type-dependent dropping,human-vs-human,12,1,,
56,10.0,0.01,0.02,1.0,0.8,0.51835,0.5,3.5,15.0,0.4,0.2,0.2,0.2,1.4268100000000001,Type-dependent dropping,human-vs-human,12,2,,
57,5.8306,0.005,0.026667,0.77189,0.8,0.4987,0.75604,2.5,15.0,0.21088,0.2,0.16667,0.2,1.99478,Type-dependent dropping,human-vs-human,12,3,,
58,10.0,0.0058333,0.01,0.5,0.8,0.36413,0.55556,2.5,18.333,0.11653,0.2,0.2,0.17706,2.33983,Type-dependent dropping,human-vs-human,12,4,,
59,5.0,0.005,0.01,0.5,0.8,0.41556,0.5,2.5,131.25,0.21384,0.1,0.16667,0.2,2.0755500000000002,Type-dependent dropping,human-vs-human,12,5,,
60,2.7307,0.02,0.01,1.5,0.8,0.8,0.3,2.5,15.0,0.2,0.2,0.2,0.2,2.2145699999999997,Type-dependent dropping,human-vs-human,13,1,,
61,3.2543,0.010486,0.019491,1.0361,0.71663,0.8,0.3,3.5,14.471,0.2,0.19513,0.19629,0.2,2.03798,Type-dependent dropping,human-vs-human,13,2,,
62,3.0,0.02,0.02,1.0,0.8,1.0,0.3,3.5,15.0,0.2,0.2,0.2,0.2,2.54508,Type-dependent dropping,human-vs-human,13,3,,
63,1.4625,0.0049506,0.02884,1.0197,0.52284,0.9093,0.41574,2.3007,44.177,0.2304,0.40247,0.2011,0.40494,2.23834,Type-dependent dropping,human-vs-human,13,4,,
64,2.9772,0.041828,0.022949,1.1142,0.8,0.83894,0.3,3.3333,5.7259,0.2,0.2,0.16667,0.2504,2.37372,Type-dependent dropping,human-vs-human,13,5,,
65,4.314,0.0099999,0.01,1.0,0.4,1.0,0.3,4.6667,15.0,0.2,0.2,0.2,0.26667,1.6203699999999999,Type-dependent dropping,human-vs-human,14,1,,
66,2.8906,0.010798,0.02,1.0,0.44475,1.0,0.3,3.5,1.8374,0.16667,0.2,0.2,0.26667,2.2289000000000003,Type-dependent dropping,human-vs-human,14,2,,
