,pruning threshold,stopping probability,feature drop rate,lapse rate,active scaling constant,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
117,0.1,0.005,0.34045,0.24794,0.42216,2.61429,Optimal weights,human-vs-human,24,3,,
118,8.1708,0.020253,0.62947,0.018369,2.1681,2.85555,Optimal weights,human-vs-human,24,4,,
119,0.1,0.001,0.2828,0.47083,1.9675,2.69585,Optimal weights,human-vs-human,24,5,,
120,5.525,0.014834,0.4,0.01,1.5903,1.63473,Optimal weights,human-vs-human,25,1,,
121,4.774,0.015,0.23333,0.02037,1.349,3.18251,Optimal weights,human-vs-human,25,2,,
122,4.4107,0.0015667,0.51647,0.043416,1.7125,1.8597700000000004,Optimal weights,human-vs-human,25,3,,
123,3.975,0.019,0.4,0.023622,1.4448,2.20681,Optimal weights,human-vs-human,25,4,,
124,6.059,0.011466,0.51167,0.022561,1.8148,1.8290400000000002,Optimal weights,human-vs-human,25,5,,
125,3.0,0.014669,0.3,0.03,1.362,1.78999,Optimal weights,human-vs-human,26,1,,
126,4.3259,0.04,0.22505,0.02,1.362,1.5631300000000001,Optimal weights,human-vs-human,26,2,,
127,3.0,0.01,0.2,0.02,1.362,2.60016,Optimal weights,human-vs-human,26,3,,
128,3.1887,0.0050007,0.27126,0.01,1.3031,1.87745,Optimal weights,human-vs-human,26,4,,
129,7.0,0.01,0.4,0.02,1.362,1.9405999999999999,Optimal weights,human-vs-human,26,5,,
130,1.8765,0.001,0.4,0.0125,3.3817,1.9214600000000002,Optimal weights,human-vs-human,27,1,,
131,6.66,0.0049989,0.3702,0.020007,1.7287,1.5500999999999998,Optimal weights,human-vs-human,27,2,,
132,8.1799,0.02,0.28333,0.019271,1.135,0.8849729999999999,Optimal weights,human-vs-human,27,3,,
133,3.0,0.01,0.22907,0.04,1.362,2.86381,Optimal weights,human-vs-human,27,4,,
134,0.91667,0.010955,0.37605,0.025536,2.8324,2.35289,Optimal weights,human-vs-human,27,5,,
135,10.0,0.02,0.24779,0.043728,1.9627,1.70518,Optimal weights,human-vs-human,28,1,,
136,3.0,0.005,0.2,0.02,1.362,2.18821,Optimal weights,human-vs-human,28,2,,
137,6.5279,0.0050011,0.19988,0.02335,1.7531,1.3846,Optimal weights,human-vs-human,28,3,,
138,10.0,0.0080332,0.2,0.02,1.362,2.0976100000000004,Optimal weights,human-vs-human,28,4,,
139,10.0,0.0049964,0.19962,0.020053,1.3681,1.3319100000000001,Optimal weights,human-vs-human,28,5,,
140,5.2184,0.022088,0.53567,0.029161,1.7498,2.57486,Optimal weights,human-vs-human,29,1,,
141,5.85,0.02,0.6,0.06,2.7241,2.46005,Optimal weights,human-vs-human,29,2,,
142,6.6487,0.010338,0.29065,0.12667,1.362,2.50093,Optimal weights,human-vs-human,29,3,,
143,4.5889,0.024786,0.37067,0.036273,1.3758,2.5779700000000005,Optimal weights,human-vs-human,29,4,,
144,5.0018,0.019986,0.62685,0.03503,1.3614,2.3991000000000002,Optimal weights,human-vs-human,29,5,,
145,4.2575,0.0054511,0.58592,0.111,0.99816,2.10025,Optimal weights,human-vs-human,30,1,,
146,6.475,0.001,0.6,0.01,0.92333,2.53952,Optimal weights,human-vs-human,30,2,,
147,6.1215,0.013969,0.61714,0.060648,1.9652,2.44442,Optimal weights,human-vs-human,30,3,,
148,5.3865,0.0058333,0.70054,0.02,2.7241,2.4425999999999997,Optimal weights,human-vs-human,30,4,,
149,1.55,0.001,0.54154,0.039997,0.74008,2.4183700000000004,Optimal weights,human-vs-human,30,5,,
150,4.8896,0.0049997,0.25718,0.022135,3.382,1.49754,Optimal weights,human-vs-human,31,1,,
151,4.2154,0.001,0.17415,0.016506,3.2731,1.7734199999999998,Optimal weights,human-vs-human,31,2,,
152,5.4604,0.0038353,0.20937,0.01,3.0193,1.49588,Optimal weights,human-vs-human,31,3,,
153,5.0,0.01,0.2,0.02,2.764,1.3784299999999998,Optimal weights,human-vs-human,31,4,,
154,5.8003,0.001,0.3,0.02,3.3817,1.2354500000000002,Optimal weights,human-vs-human,31,5,,
155,4.9505,0.0051925,0.18856,0.019574,1.9773,1.73949,Optimal weights,human-vs-human,32,1,,
156,5.04,0.0048918,0.21079,0.021103,1.378,1.3224399999999998,Optimal weights,human-vs-human,32,2,,
157,7.837,0.009442,0.20618,0.010283,2.0946,1.3857599999999999,Optimal weights,human-vs-human,32,3,,
158,2.5167,0.005,0.2,0.023333,1.362,1.51907,Optimal weights,human-vs-human,32,4,,
159,5.4612,0.001,0.2,0.021477,1.362,1.71876,Optimal weights,human-vs-human,32,5,,
160,1.1005,0.0069277,0.41637,0.020849,4.6958,1.57137,Optimal weights,human-vs-human,33,1,,
161,3.4306,0.016942,0.25191,0.035246,3.0944,1.95009,Optimal weights,human-vs-human,33,2,,
162,3.0,0.01,0.3371,0.018998,3.3817,1.7090299999999998,Optimal weights,human-vs-human,33,3,,
163,1.3286,0.005,0.33851,0.01,4.9995,1.9868,Optimal weights,human-vs-human,33,4,,
164,0.67759,0.0059708,0.32841,0.01,4.991,1.70858,Optimal weights,human-vs-human,33,5,,
165,4.0331,0.001,0.34205,0.024364,2.08,1.3311600000000001,Optimal weights,human-vs-human,34,1,,
166,3.4948,0.004527,0.16882,0.01,1.4435,1.9642699999999997,Optimal weights,human-vs-human,34,2,,
167,2.55,0.01,0.2,0.02,1.362,1.55932,Optimal weights,human-vs-human,34,3,,
168,10.0,0.0065861,0.2,0.018615,2.7241,1.7503900000000001,Optimal weights,human-vs-human,34,4,,
169,2.9467,0.006517,0.24071,0.016667,1.3621,1.9378499999999999,Optimal weights,human-vs-human,34,5,,
170,6.4029,0.001,0.21157,0.02,0.76017,1.6102900000000002,Optimal weights,human-vs-human,35,1,,
171,4.9159,0.0045734,0.21299,0.016874,1.148,1.85456,Optimal weights,human-vs-human,35,2,,
172,5.1704,0.001,0.20286,0.01,1.362,2.0199399999999996,Optimal weights,human-vs-human,35,3,,
173,7.5119,0.001,0.14757,0.02,1.362,1.48791,Optimal weights,human-vs-human,35,4,,
