,feature drop rate,lapse rate,active scaling constant,center weight,connected 2-in-a-row weight,unconnected 2-in-a-row weight,3-in-a-row weight,4-in-a-row weight,log-likelihood,model,experiment,participant,cross-validation group,session number,time limit
60,0.0,0.021628,0.48924,0.4,0.8,0.3,2.5,15.0,2.02776,No tree,human-vs-human,13,1,,
61,0.2014,0.01,0.58663,0.45525,1.1643,0.40682,2.7876,-1783.7,2.13661,No tree,human-vs-human,13,2,,
62,0.1872,0.029971,0.4906,0.48169,0.99943,0.66695,3.0546,18.329,2.57864,No tree,human-vs-human,13,3,,
63,0.2,0.024633,0.53296,0.53333,0.99999,0.36378,2.8735,8.3888,2.35685,No tree,human-vs-human,13,4,,
64,0.10422,0.01,0.46495,0.33282,0.83697,0.30344,2.4351,17.095,2.36803,No tree,human-vs-human,13,5,,
65,0.03963,0.3349,0.50779,0.39352,1.4884,0.73148,3.5208,15.074,1.92558,No tree,human-vs-human,14,1,,
66,0.29926,0.020015,0.48311,0.42785,2.0012,2.0868,4.9978,15.01,3.01214,No tree,human-vs-human,14,2,,
67,0.13048,0.087607,0.57613,0.30733,1.4013,0.49294,3.0256,26.789,2.4835700000000003,No tree,human-vs-human,14,3,,
68,0.3,0.12667,0.5,0.4,2.0,1.9302,6.8529,20.0,2.03872,No tree,human-vs-human,14,4,,
69,0.012945,0.065579,0.25,0.26796,2.2035,1.8152,7.3167,2.4811,1.97216,No tree,human-vs-human,14,5,,
70,0.022931,0.04,0.54211,0.53333,0.8,1.2,3.9017,-199.9,1.52874,No tree,human-vs-human,15,1,,
71,0.080972,0.036409,0.60734,0.28889,0.8,1.233,4.8867,16.667,1.56807,No tree,human-vs-human,15,2,,
72,0.22812,0.035,0.5,0.8,0.66585,0.88369,5.0,20.0,1.64725,No tree,human-vs-human,15,3,,
73,0.26349,0.02,0.51657,0.8,1.1965,2.4015,9.4468,15.0,2.34718,No tree,human-vs-human,15,4,,
74,0.0,0.023333,0.81402,0.58316,0.51558,1.0042,3.3333,-135.0,2.4149000000000003,No tree,human-vs-human,15,5,,
75,0.0,0.035161,0.25,0.96536,1.0568,1.1121,4.5792,39.076,2.67703,No tree,human-vs-human,16,1,,
76,0.28711,0.01,0.31354,0.41944,1.5461,0.92639,4.588,2.1018,2.2010300000000003,No tree,human-vs-human,16,2,,
77,0.0,0.019862,0.25,0.68333,0.88115,0.94892,3.7319,9.3686,1.57798,No tree,human-vs-human,16,3,,
78,0.026902,0.01,0.47041,0.40586,0.83572,0.79701,3.5188,14.933,1.7938799999999997,No tree,human-vs-human,16,4,,
79,0.17507,0.019596,0.44612,0.74387,1.3177,1.154,4.7784,20.838,1.5675700000000001,No tree,human-vs-human,16,5,,
80,0.096334,0.02,0.25,0.4,1.0,0.5,3.8685,8.1834,1.8397299999999999,No tree,human-vs-human,17,1,,
81,0.0,0.033882,0.25,0.25872,0.89494,0.3683,3.4852,10.578,2.35663,No tree,human-vs-human,17,2,,
82,0.0,0.04121,0.48519,0.38056,1.0024,0.58305,3.339,-7.7182,2.62589,No tree,human-vs-human,17,3,,
83,0.10514,0.035218,0.47032,0.37791,0.98432,0.42098,2.6536,14.802,2.0997,No tree,human-vs-human,17,4,,
84,0.0,0.037991,0.38004,0.38786,0.94491,1.0642,5.1499,9.5289,2.55506,No tree,human-vs-human,17,5,,
85,0.1,0.03,0.5,0.30807,0.60978,0.85287,3.5,10.0,1.8576600000000003,No tree,human-vs-human,18,1,,
86,0.3,0.01,0.61008,0.4,0.8,1.0,3.5,10.0,2.52801,No tree,human-vs-human,18,2,,
87,0.14702,0.030397,0.53492,0.25802,0.99007,0.40645,3.4927,14.921,2.49897,No tree,human-vs-human,18,3,,
